City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
317,Kichera,29,RU,scattered clouds,2022-02-10 02:38:27,80,55.9375,110.0997,-2.74,3.89
318,Faya,9,SA,clear sky,2022-02-10 02:38:27,74,18.3851,42.4509,55.51,2.59
319,Gladstone,40,AU,scattered clouds,2022-02-10 02:38:28,45,-23.85,151.25,85.93,11.5
320,Tocopilla,0,CL,clear sky,2022-02-10 02:38:28,67,-22.092,-70.1979,67.17,1.43
321,Fare,81,PF,broken clouds,2022-02-10 02:38:29,76,-16.7,-151.0167,81.46,13.76
322,Vila,59,PT,broken clouds,2022-02-10 02:38:29,71,42.0304,-8.1588,43.32,3.2
323,Encruzilhada,7,BR,clear sky,2022-02-10 02:38:30,98,-15.5314,-40.9094,66.58,4.09
324,Lompoc,0,US,clear sky,2022-02-10 02:36:31,39,34.6391,-120.4579,71.91,4.61
325,Sri Aman,20,MY,few clouds,2022-02-10 02:38:30,89,1.2376,111.4621,80.65,0.0
326,Poronaysk,49,RU,scattered clouds,2022-02-10 02:38:31,75,49.2167,143.1167,21.65,3.94
327,Iwanai,22,JP,few clouds,2022-02-10 02:38:31,75,42.9744,140.5089,31.48,0.98
328,Norrtalje,3,SE,clear sky,2022-02-10 02:38:32,76,59.758,18.705,36.43,15.66
329,Kumano,100,JP,overcast clouds,2022-02-10 02:39:33,79,34.3442,132.5894,48.94,1.23
330,Haines Junction,12,CA,few clouds,2022-02-10 02:39:33,60,60.7522,-137.5108,39.15,5.75
331,Manacor,0,ES,clear sky,2022-02-10 02:39:34,77,39.5696,3.2096,43.34,1.03
332,Turukhansk,67,RU,broken clouds,2022-02-10 02:39:34,99,65.8167,87.9833,-25.42,6.33
333,Daru,99,PG,overcast clouds,2022-02-10 02:39:35,72,-9.0763,143.2092,84.6,6.78
334,Liaocheng,0,CN,clear sky,2022-02-10 02:39:35,52,36.4439,115.9647,45.01,9.89
335,Mahanoro,12,MG,few clouds,2022-02-10 02:39:36,92,-19.9,48.8,75.04,1.77
336,Linping,100,CN,overcast clouds,2022-02-10 02:39:36,77,30.4225,120.2972,46.94,2.46
337,Atbasar,95,KZ,overcast clouds,2022-02-10 02:39:37,100,51.8,68.3333,-9.45,6.24
338,Oktyabrskiy,100,RU,overcast clouds,2022-02-10 02:39:37,89,54.4815,53.471,18.07,13.35
339,Chapais,100,CA,light snow,2022-02-10 02:39:38,95,49.7834,-74.8492,24.58,10.98
340,Lasa,33,IT,scattered clouds,2022-02-10 02:39:38,35,46.6166,10.7002,51.26,3.29
341,Kralendijk,75,BQ,broken clouds,2022-02-10 02:39:39,73,12.15,-68.2667,78.78,10.36
342,La Ronge,100,CA,overcast clouds,2022-02-10 02:39:40,85,55.1001,-105.2842,10.65,3.44
343,Balagansk,99,RU,overcast clouds,2022-02-10 02:39:40,91,54.0103,103.0544,-9.51,5.53
344,Taloqan,100,AF,overcast clouds,2022-02-10 02:37:48,44,36.7361,69.5345,41.9,3.47
345,Levokumskoye,100,RU,light rain,2022-02-10 02:39:41,79,44.8219,44.6606,37.04,12.28
346,Ende,100,ID,overcast clouds,2022-02-10 02:39:41,78,-8.8432,121.6623,83.79,2.53
347,Lumeje,100,AO,overcast clouds,2022-02-10 02:39:42,87,-11.55,20.7833,64.22,4.7
348,Elban,72,RU,broken clouds,2022-02-10 02:39:42,86,50.1018,136.5094,9.64,3.09
349,Kavieng,32,PG,moderate rain,2022-02-10 02:39:43,75,-2.5744,150.7967,83.21,6.98
350,Shiraz,0,IR,clear sky,2022-02-10 02:39:43,64,29.6036,52.5388,29.64,0.0
351,Chernyshevskiy,99,RU,overcast clouds,2022-02-10 02:39:44,92,63.0128,112.4714,-15.21,1.72
352,Makakilo City,40,US,scattered clouds,2022-02-10 02:39:44,60,21.3469,-158.0858,79.12,16.11
353,Ouahigouya,0,BF,clear sky,2022-02-10 02:39:45,12,13.5828,-2.4216,69.49,10.98
354,Ixtapa,0,MX,clear sky,2022-02-10 02:39:45,78,20.7,-105.2,69.22,1.01
355,Palmer,75,US,broken clouds,2022-02-10 02:38:59,75,42.1584,-72.3287,34.97,0.0
356,Storforshei,100,NO,snow,2022-02-10 02:39:46,97,66.4043,14.5233,32.67,12.17
357,Provideniya,0,RU,clear sky,2022-02-10 02:39:47,59,64.3833,-173.3,-3.89,15.66
358,Stornoway,75,GB,broken clouds,2022-02-10 02:39:48,80,58.2093,-6.3865,39.16,20.71
359,Uchiza,100,PE,overcast clouds,2022-02-10 02:39:48,97,-8.4592,-76.4633,71.15,1.97
360,Mahebourg,40,MU,scattered clouds,2022-02-10 02:39:48,94,-20.4081,57.7,74.25,2.3
361,Guerrero Negro,0,MX,clear sky,2022-02-10 02:38:47,63,27.9769,-114.0611,62.6,9.08
362,Svetlyy,73,RU,broken clouds,2022-02-10 02:39:49,91,54.675,20.1347,39.25,17.45
363,Zeya,94,RU,overcast clouds,2022-02-10 02:39:49,59,53.75,127.2667,8.33,3.09
364,Lieksa,100,FI,light snow,2022-02-10 02:39:50,96,63.3167,30.0167,29.19,8.01
365,Bombay,8,IN,smoke,2022-02-10 02:35:11,53,19.0144,72.8479,71.58,4.61
366,Vilhena,98,BR,overcast clouds,2022-02-10 02:39:08,98,-12.7406,-60.1458,67.32,2.17
367,Kamenka,43,RU,scattered clouds,2022-02-10 02:39:51,98,51.3223,42.7678,10.33,6.69
368,Valjevo,1,RS,clear sky,2022-02-10 02:39:51,86,44.2751,19.8982,41.79,6.69
369,Pitimbu,95,BR,overcast clouds,2022-02-10 02:39:52,71,-7.4706,-34.8086,77.59,10.83
370,Clonakilty,100,IE,overcast clouds,2022-02-10 02:39:52,63,51.6231,-8.8706,38.08,9.93
371,Koulamoutou,97,GA,overcast clouds,2022-02-10 02:39:52,80,-1.1303,12.4736,74.93,1.72
372,Sivas,100,TR,snow,2022-02-10 02:39:53,93,39.7916,37.0019,25.43,24.16
373,Edd,4,ER,clear sky,2022-02-10 02:39:53,48,13.9297,41.6925,78.71,18.14
374,Bereda,49,ES,scattered clouds,2022-02-10 02:39:54,97,43.2686,-7.5406,46.99,2.51
375,Kaya,0,BF,clear sky,2022-02-10 02:40:54,11,13.0917,-1.0844,70.92,9.48
376,Koungou,100,YT,moderate rain,2022-02-10 02:40:55,89,-12.7336,45.2042,80.31,11.5
377,Sungairaya,100,ID,light rain,2022-02-10 02:40:55,90,0.7,108.9,76.35,4.5
378,Buala,93,SB,moderate rain,2022-02-10 02:40:55,80,-8.145,159.5921,83.19,10.22
379,Linqiong,97,CN,overcast clouds,2022-02-10 02:40:56,76,30.4159,103.4609,40.82,1.36
380,Wanlaweyn,63,SO,broken clouds,2022-02-10 02:40:56,77,2.6185,44.8938,71.22,13.73
381,Anjangaon,6,IN,clear sky,2022-02-10 02:40:57,41,21.1631,77.3094,69.42,4.72
382,Lexington,75,US,broken clouds,2022-02-10 02:36:23,49,37.9887,-84.4777,45.95,8.05
383,Aklavik,100,CA,overcast clouds,2022-02-10 02:40:16,96,68.2191,-135.0107,-19.37,7.29
384,Palmas,100,BR,moderate rain,2022-02-10 02:40:58,94,-10.2128,-48.3603,75.07,1.14
385,Dwarka,5,IN,clear sky,2022-02-10 02:39:17,45,22.2394,68.9678,69.51,12.91
386,Vardo,100,NO,overcast clouds,2022-02-10 02:40:58,78,70.3705,31.1107,29.28,20.51
387,Iberia,0,US,clear sky,2022-02-10 02:40:59,81,29.9502,-91.7507,53.1,4.61
388,Waingapu,100,ID,overcast clouds,2022-02-10 02:40:59,74,-9.6567,120.2641,83.79,5.84
389,Lopandino,100,RU,snow,2022-02-10 02:41:00,93,52.4666,34.8163,29.88,12.17
390,Karlskrona,90,SE,overcast clouds,2022-02-10 02:41:01,84,56.1616,15.5866,37.85,15.41
391,Ahipara,100,NZ,overcast clouds,2022-02-10 02:41:01,70,-35.1667,173.1667,78.93,11.25
